rank,id,county_name,media_market,enrollment_score
164,d010a7133649bbe4ec6a60b1cb1f6c44,harris,houston tx,0.8745996134766385
165,f14aaa34b01c481862c0deadc49e7351,liberty,houston tx,0.8739468413009037
166,237910ef466a9d3a5c242f952e4729f6,harris,houston tx,0.8723420026330537
167,746488cea14fb2ffdf5c4dd53f6d7449,harris,houston tx,0.8720620355082527
168,6b8eb2d63c836f52c063b285bfd681c4,harris,houston tx,0.8718597303374838
169,e821f8795462568631690322ba6adb24,galveston,houston tx,0.8717424513367611
170,6837760c2878fc4797b77dbd1a53cc7e,harris,houston tx,0.8712860818898331
171,5aa299035d39698f20f64438f9969810,san jacinto,houston tx,0.8708361959428901
172,3e9c6c86e8baf2ff6f23ea994060d250,galveston,houston tx,0.8694508595130934
173,fede111bfa440cc79a29618f95a3ebf2,harris,houston tx,0.8690066016241573
174,3d45e0000056173582bf37c3ad90c3f0,harris,houston tx,0.8673922471771008
175,153b411c2d7f34abf87c488209b34cb5,brazoria,houston tx,0.867080535771273
176,66463d4756fced28093c813f71dc372c,harris,houston tx,0.8660463371842708
177,2b182a2ca241b6e6f73620ec0187ae43,harris,houston tx,0.865061734672685
178,0ca5bb3d3c0d63f4a5d0cce5d4bebd0a,brazoria,houston tx,0.8640849392778944
179,3560d590f208b7ebae98dbff40a917d6,galveston,houston tx,0.8618850509191801
180,f8f8a9c1d7625c47fd9db6a3cdc365a7,montgomery,houston tx,0.8617087697546986
181,6c2c99393ca41a46b38f978efe9d0511,montgomery,houston tx,0.8614885779404808
182,eb0dfa27d346de1db05297304306cfa4,harris,houston tx,0.860683922475215
183,499665bc6a4e890439ca648cdfe8c31d,harris,houston tx,0.8582187972178654
184,9cef4693813124ae41953db00037ff0a,harris,houston tx,0.857817086571454
185,037f6370411ccc7c88944b05e31f54f6,galveston,houston tx,0.8578134455443334
186,1d5ce780707206ed53253123a3c4c3ba,brazoria,houston tx,0.8577357760808368
187,a113a233d2b327fb78a649c88f8d9bfd,harris,houston tx,0.8575466246393907
188,9e39821f85b68e2d5d58cd4001cb9b70,harris,houston tx,0.8566654547366988
189,60a2c139da4aeaa295693634813c9eb1,harris,houston tx,0.8560315728356338
190,364b689c76f51f29200db5b34476d34d,fort bend,houston tx,0.8558643662313525
191,d4e4c859f32c9f54fdf2362ea3aa4558,calhoun,houston tx,0.8549528274165785
192,a3cb55187cd571df6dfb18faff84db38,fort bend,houston tx,0.8545388096290455
193,c8d1a3dbe05da927492267a8b61ed17a,harris,houston tx,0.8529050916472503
